Numero sentiero tratta;Competenza;Denominazione;Difficoltà;Località inizio;Località fine;Quota inizio;Quota fine;Quota minima;Quota massima;Lunghezza plaminetrica;Lunghezza inclinata;Tempo andata;Tempo ritorno;Gruppo montagne interessate;Comuni toccati,miovalore,cancellato
E408A;SEZ. SAT SAN MICHELE ALL'ADIGE;;E;pr. LE MALGHE DI FAEDO (b.408);VALBORADA (b.409);747;820;747;820;1090;1100;00:20;00:15;MONTI DI CEMBRA;Faedo, Giovo,17,0
E408B;SEZ. SAT SAN MICHELE ALL'ADIGE;;E;FONTANELLE DI FAEDO (b.409-414);PASSO CIMA (b.408);760;798;760;798;320;330;00:10;00:10;MONTI DI CEMBRA;Faedo,19,0
E409;SEZ. SAT SAN MICHELE ALL'ADIGE;;E;FONTANELLE DI FAEDO (b.408B-414);ZISE - bivio SI-E5 (b.415-415A);760;1245;760;1245;6020;6080;02:10;01:50;MONTI DI CEMBRA;Faedo, Giovo, Cembra,18,0
E409A;SEZ. SAT SAN MICHELE ALL'ADIGE;;E;POZZE (b.409);LAGABRUN (b.414);1054;1085;1054;1085;1190;1200;00:20;00:15;MONTI DI CEMBRA;Giovo, Cembra,18,0
E409B;SEZ. SAT SAN MICHELE ALL'ADIGE;;E;PASSO DELLA CROCCOLA (b.409);CONFINE PROVINCIALE TN-BZ;948;805;805;948;1200;1220;00:30;00:40;MONTI DI CEMBRA;Giovo,17,0
E410;SEZ. SAT CEMBRA;;E;CEMBRA;LAGO SANTO - bivio SI-E5 (b.414-415-417);665;1208;665;1208;3560;3620;01:30;01:10;MONTI DI CEMBRA;Cembra,19,0
E411;SEZ. SAT POVO;;E;BORINO (b.413);CIPPO LIVIO SARTORI (b.412);500;1570;500;1692;8170;8350;04:00;03:00;MARZOLA;Trento,15,0
E411A;SEZ. SAT POVO;BIVIO 411 1585;E;QUOTA 1585 (b.411);SELLA DELLA MARZOLA (b.411-412-433);1585;1710;1585;1737;1510;1540;00:45;00:35;MARZOLA;Trento,10,0
E412;SEZ. SAT BINDESI VILLAZZANO;;E;GROTTA DI VILLAZZANO;SELLA DELLA MARZOLA (b.411-411A-433);479;1692;479;1736;7810;7990;04:15;03:10;MARZOLA;Trento,13,0
E412A;SEZ. SAT BINDESI VILLAZZANO;;E;"BIVACCO MARZOLA - ""Raffele Bailoni"" (b.412)";QUOTA 1621 (b.411);1623;1621;1621;1623;200;210;00:05;00:05;MARZOLA;Trento,17,0
E413;SEZ. SAT POVO;;E;BORINO (b.411);STOI DEL CHEGUL (b.411);530;1330;530;1330;5040;5150;02:30;01:50;MARZOLA;Trento,11,0
E414;SEZ. SAT SAN MICHELE ALL'ADIGE;;E;SAN MICHELE ALL'ADIGE;LAGO SANTO - bivio SI-E5 (b.410-415-417;210;1208;210;1208;8470;8590;03:30;02:30;MONTI DI CEMBRA;S. Michele all'Adige, Faedo, Giovo, Cembra,17,0
E415;SEZ. SAT CEMBRA;;E;LAGO SANTO - bivio SI-E5 (b.410-414-417);RIFUGIO POTZMAUER - bivio SI-E5 (b.480);1208;1289;1208;1289;7050;7100;02:20;02:10;MONTI DI CEMBRA;Cembra, Faver,18,0
E415A;SEZ. SAT CEMBRA;;T;PONCIACH;ZISE - bivio SI_E5 (b.409-415);1000;1245;1000;1245;1510;1530;00:40;00:30;MONTI DI CEMBRA;Cembra, Faver,18,0
E416;SEZ. SAT LISIGNAGO;;E;LISIGNAGO;CAPANNA MADERLINA (b.417);582;1005;582;1055;5030;5120;02:00;01:30;MONTI DI CEMBRA;Lisignago,10,0
E416A;SEZ. SAT LISIGNAGO;SENTIERO DEL PIZ DELLE AGOLE;E;PERNAIA (b.416);PIANI DI PERNAIA (b.416);995;1055;995;1082;1350;1370;00:35;00:30;MONTI DI CEMBRA;Lisignago,19,0
E417;SEZ. SAT LISIGNAGO, SEZ. SAT CEMBRA;;E;VAL DELLA STUA (b.414);LAGO SANTO - bivio SI-E5 (410-414-415);910;1208;910;1224;6800;6880;02:20;02:00;MONTI DI CEMBRA;Giovo, Lisignago, Cembra,13,0
E418;SEZ. SAT POVO;"VIA FERRATA ""GIORDANO BERTOTTI"" VF - EEA-PD";EEA-PD;COLMO - strada Cimirlo-Maranza (b.427);SPIAZ DE LE PATATE (b.411);853;1310;853;1310;1980;2090;01:30;01:10;MARZOLA;Trento,17,0
E419;SEZ. SAT POVO;;E;OLTRECASTELLO;PASSO DEL CIMIRLO;481;733;481;998;4100;4210;02:20;02:10;MARZOLA;Trento,12,0
E420;SEZ. SAT COGNOLA, SEZ. SAT CIVEZZANO;;E;CIVEZZANO - CASTEL TELVANA (b.403);MONTEVACCINO DI SOPRA (b.430);477;739;477;887;6500;6600;02:15;02:00;CALISIO;Trento, Civezzano,11,0
E420A;SEZ. SAT CIVEZZANO;SENTER DEL LOF;E;LE LASTE (b.420);TRINCEE (b.403);559;638;550;638;2110;2150;00:50;00:45;CALISIO;Civezzano,20,0
E421;SEZ. SAT COGNOLA, SEZ. SAT CIVEZZANO;SENTIERO DI SANTA COLOMBA;E;VILLAMONTAGNA - piazza;FORNACE - scuole;576;750;576;935;11290;11500;03:45;03:45;CALISIO;Trento, Civezzano, Albiano, Fornace,14,0
E421A;SEZ. SAT COGNOLA;SENTIERO VECCHIO DI CAMPEL;E;VILLAMONTAGNA - bivio Pozze (b.421);PINETA DI CAMPEL (b.421);612;765;612;765;700;740;00:20;00:15;CALISIO;Trento,17,0
E422;SEZ. SAT LAVIS;;E;SAN LAZZARO - pr. chiesa San Lazzaro;DOLASI (b.421);240;895;240;895;5640;5700;02:20;01:45;CALISIO;Trento, Civezzano,19,0
E423;GRUPPO SAT CAPRIANA (Sez. Cavalese), SEZ. SAT PINÉ;;E;pr.BAITO FORNASA BASSA SP 31 (b.314);ex MALGA CASERINE ruderi (b.407-468A);1425;1910;1425;2219;5990;6130;03:15;02:30;LAGORAI / Costalta - Croce;Castello-Molina di Fiemme, Valfloriana, Baselga di Piné,14,0
E424;SEZ. SAT CIVEZZANO;;EE;SLACCHE;SELLETTA (b.419);410;885;410;885;2200;2270;01:15;00:45;MARZOLA;Civezzano,18,0
E424B;SEZ. SAT CIVEZZANO;SENTIERO ALPINISTICO DEL CELVET SAA - EE;EE;GIARON (b.424);SPIAZ DA BARCH (b.419);675;834;675;834;800;820;00:40;00:30;MARZOLA;Civezzano, Trento,12,0
E425;SEZ. SAT FOLGARIA, SEZ. SAT CENTA S. NICOLÒ, SEZ. SAT CALDONAZZO;SAA;E;FOLGARIA OVEST;BIVACCO VIGOLANA (b.435);1145;1990;1145;2125;11690;11860;04:40;04:00;VIGOLANA;Folgaria, Besenello, Centa S. Nicolò, Vattaro, Bosentino,17,0
E425B;SEZ. SAT FOLGARIA;"SENTIERO ATTREZZATO ""GIOVANNI GENTILINI""  SAA - EE";EE;VERSANTE SE CORNETTO DI FOLGARIA (b.451);CRESTA N CORNETTO DI FOLGARIA (b.425);1970;2015;1970;2015;700;710;00:30;00:30;VIGOLANA;Folgaria,14,0
E426;SEZ. SAT POVO;SENTER DELLE PEGORE;E;RIFUGIO MARANZA (b.412-429-441-456);QUOTA 1320 (b.413);1072;1320;1072;1320;3200;3230;01:20;01:10;MARZOLA;Trento,13,0
E427;SEZ. SAT POVO;SENTER DEI BRUSADI;E;QUOTA 794 (b.413);PRA' DE STELAR (b.411);794;994;794;995;1760;1810;01:00;00:50;MARZOLA;Trento,18,0
E428;SEZ. SAT CALDONAZZO, SEZ. SAT CENTA S. NICOLÒ;SENTIERO DEI RONCHI;E;CALDONAZZO - presso il cimitero;MARCH - pr. Rifugio Paludei (b.432-444);487;1058;487;1058;5200;5280;02:00;01:30;VIGOLANA;Caldonazzo, Centa S. Nicolò,18,0
E429;SEZ. SAT VIGOLO VATTARO;;E;VIGOLO VATTARO;RIF. MARANZA (b.412-426-441-456);717;1072;717;1072;5000;5040;01:45;01:20;MARZOLA;Trento, Vigolo Vattaro,17,0
E430;SEZ. SAT COGNOLA;SENTIERO DEL GIARON;E;MONTEVACCINO SAN LEONARDO - chiesa;STOI (b.401);716;1035;716;1035;2160;2220;01:00;00:45;CALISIO;Trento,15,0
E431;SEZ. SAT BESENELLO;;E;BESENELLO;QUOTA 1978 CRESTA CAMPIGOLET (b.450);226;1978;226;1978;9400;9590;05:15;04:00;VIGOLANA;Besenello,19,0
E431B;SEZ. SAT MATTARELLO;SENTIERO DELL'IMPERATORE;E;ACQUAVIVA - SS 12 km 368,3;pr. MASO DEI CUCCHI (b.431);184;791;184;791;4700;4780;01:40;01:20;VIGOLANA;Trento, Besenello, Calliano,17,0
E432;"SEZ. SAT CENTA S. NICOLÒ, RIF. CASAROTA ""LIVIO CIOLA""";SENTIERO ATTREZZATO  DEI PASTORI SAA - EE;EEA;MARCH - pr. Rifugio Paludei (b.428-444);ALBI (b.442);1058;1600;1058;1600;4250;4330;02:05;01:35;VIGOLANA;Centa S. Nicolò,11,0
E433;SEZ. SAT PERGINE;;EE;SUSA' - pr. il ponte sul Rio Merdàr;SELLA DELLA MARZOLA (b.411-411A-412);590;1692;590;1692;5410;5560;03:40;02:40;MARZOLA;Pergine Valsugana, Vigolo Vattaro,16,0
E434;SEZ. SAT MATTARELLO;SENT. ATTREZZATO CADUTI DELLA MONTAGNA SAA - EE;EE;VERSANTE NO BECCO CERIOLA (b.446);QUOTA 1984 CRESTA CAMPIGOLET (b.450);1725;1984;1725;1984;2400;2450;01:10;01:00;VIGOLANA;Trento, Besenello,16,0
E434B;SEZ. SAT MATTARELLO;;E;PRATI ALTI (b.446);BECCO DELLA CERIOLA (b.434);1730;1935;1730;1935;900;930;00:30;00:20;VIGOLANA;Besenello,13,0
E435;SEZ. SAT VIGOLO VATTARO;SENTIERO ATTREZZATO DELLE GRATTAROLE SAA - EE;EE;VAL DE L'ACQUA (b.450);BIVACCO VIGOLANA (b.425);1770;1990;1770;1990;1910;1940;01:00;00:50;VIGOLANA;Vigolo Vattaro, Vattaro,15,0
E435B;SEZ. SAT VIGOLO VATTARO;;E;QUOTA 1690 (b.450);SASS DELL'AQUILA (b.446);1690;1711;1690;1711;900;910;00:20;00:20;VIGOLANA;Vigolo Vattaro,20,0
E436;SEZ. SAT PERGINE;;E;SUSA' - piazza della chiesa;pr. IL DOSS DEI CORVI (b.411);563;1450;563;1475;5500;5610;02:45;02:10;MARZOLA;Pergine Valsugana, Trento,19,0
E437;SEZ. SAT VIGOLO VATTARO;;E;VIGOLO VATTARO - Sabionare (b.438);PIANI DI VIGO - Terra Rossa (b.433);788;1200;788;1200;3100;3130;01:20;01:00;MARZOLA;Vigolo Vattaro,20,0
E438;SEZ. SAT VIGOLO VATTARO;;E;VIGOLO VATTARO - Sabionare (b.437);QUOTA 1590 (b.412);788;1590;788;1590;3200;3330;02:20;01:40;MARZOLA;Vigolo Vattaro,11,0
E439;SEZ. SAT CENTA S. NICOLÒ;SENTER DEL PRALONGO;EE;PONTE DELLE ZENTE;CRESTA NO CORNETTO DI FOLGARIA (b.425);1100;1983;1100;1983;2490;2660;02:15;01:40;VIGOLANA;Centa S. Nicolò,19,0
E440;SEZ. SAT VIGOLO VATTARO;SENTIERO ATTREZZATO DEL CROZ DE LE ORE SAA - EE;EE;STRADA VALLESELLE - parcheggio (b.429);PRA' PICOL (b.438);810;1385;810;1385;2190;2300;01:40;01:15;MARZOLA;Vigolo Vattaro,11,0
E441;SEZ. SAT BINDESI VILLAZZANO;;E;PINARA (b.412);RIFUGIO MARANZA (b.412-426-429-456);560;1072;560;1072;2600;2660;01:30;01:00;MARZOLA;Trento,18,0
E442;"RIF. CASAROTA ""LIVIO CIOLA""";;E;BAR RISTORANTE AL SINDECH;VERSANTE O BECCO FILADONNA (b.425);1100;2080;1100;2080;4390;4530;03:00;02:00;VIGOLANA;Centa S. Nicolò,14,0
E443;SEZ. SAT PINÉ;;E;CENTRALE DI BEDOLLO (b.406B);BRUSAGO (b.407);1050;1104;1050;1906;10860;11060;04:10;04:10;LAGORAI / Costalta - Croce;Baselga di Piné, Bedollo,11,0
E443A;SEZ. SAT PINÉ;;E;pr. MARTINEI (b.443);VAL DELL'INFERNO (b.443);1220;1480;1208;1480;2170;2220;01:00;00:45;LAGORAI / Costalta - Croce;Baselga di Piné, Bedollo,13,0
E443B;SEZ. SAT PINÉ;;E;PASSO DEL REDEBUS (b.404);MALGA STRAMAIOLO BASSA (b.443);1453;1678;1453;1678;3600;3620;01:10;01:00;LAGORAI / Costalta - Croce;Bedollo,16,0
E444;SEZ. SAT CALDONAZZO;SAA;EE;PRAI PIANI (b.432);QUOTA 1975 (b.425);1125;1975;1125;1975;3930;4040;03:30;02:30;VIGOLANA;Centa S. Nicolò, Vattaro, Bosentino,11,0
E445;SEZ. SAT CALDONAZZO;;E;ex MALGA DOSS DEL BUGO;VAL LARGA (b.444);1031;1400;1031;1400;1500;1570;01:00;00:40;VIGOLANA;Vattaro, Bosentino,20,0
E446;SEZ. SAT MATTARELLO, SEZ. SAT BESENELLO;SAA;EE;PONT DEI MINCOTI - Mattarello;MALGA PALAZZO (b.431-448-452);234;1560;0;1730;11400;11600;05:50;04:20;VIGOLANA;Trento, Vigolo Vattaro, Besenello,20,0
E446A;SEZ. SAT VIGOLO VATTARO;SAA;E;pr. DOREDONDO (b.446);NE SASS DELL'AQUILA (b.446);1304;1660;1304;1660;1700;1750;01:00;00:45;VIGOLANA;Trento, Vigolo Vattaro,12,0
E446B;SEZ. SAT MATTARELLO;;T;BIVIO SS 349 - pr. Molini Valsorda;FORTE FORNAS (b.446);620;756;620;756;1600;1610;00:30;00:20;VIGOLANA;Trento,14,0
E447;SEZ. SAT MATTARELLO;;E;FORTE ALTO;MALGHETTA (b.446);410;952;410;952;3190;3270;01:30;01:10;VIGOLANA;Trento, Vigolo Vattaro,16,0
E448;SEZ. SAT BESENELLO;;E;COMPET;MALGA PALAZZO (b.431-446-452);455;1560;455;1560;6300;6480;03:15;02:15;VIGOLANA;Besenello,20,0
E449;SEZ. SAT BESENELLO;;E;BESENELLO - Masera;VAL ROZETTE (b.448);200;940;0;1005;4600;4730;02:30;02:00;VIGOLANA;Besenello,11,0
E450;SEZ. SAT VIGOLO VATTARO;;E;VIGOLO VATTARO;BOCCA LAVINELLA (b.453-453A);710;2043;710;2043;8090;8290;04:00;02:45;VIGOLANA;Vigolo Vattaro, Besenello,18,0
E450B;SEZ. SAT VIGOLO VATTARO;SENTER DEI ASENI;E;VIGOLO VATTARO - località Bersaglio;LA POLSADORA (b.450);735;1200;735;1200;3500;3550;01:20;01:00;VIGOLANA;Vigolo Vattaro,17,0
E451;SEZ. SAT FOLGARIA;;E;FOLGARIA;CRESTA SE CORNETTO DI FOLGARIA (b.425);1167;2030;1167;2030;5100;5200;02:45;01:50;VIGOLANA;Folgaria,12,0
E452;SEZ. SAT BESENELLO;;E;MALGA PALAZZO (b.431-446-448);POZZA ARIONDA (b.453);1560;1770;0;1770;2200;2220;01:00;00:45;VIGOLANA;Besenello,16,0
E453;SEZ. SAT BESENELLO;SENTER DEL BUS DEL GIAZ;EE;ANTICIMA DEL CORNETTO (b.425);BOCCA LAVINELLA (b.450-453A);1997;2043;0;2043;3900;3950;01:40;01:40;VIGOLANA;Besenello, Folgaria,14,0
E453A;SEZ. SAT VIGOLO VATTARO;;EE;LAVINELLA (b.435);BOCCA DI VAL LARGA (b.425);1970;2050;1970;2130;1300;1340;00:45;00:45;VIGOLANA;Vigolo Vattaro,12,0
E454;SEZ. SAT BESENELLO;;E;pr. POSTAVECCHIA DI BESENELLO;PIANI DI MASETTI (b.431B);189;760;0;760;2100;2190;01:20;01:00;VIGOLANA;Calliano,13,0
E455;SEZ. SAT POVO;;E;PASSO DEL CIMIRLO;BUSA GRANDA (b.413);731;910;731;910;3450;3520;01:15;00:55;MARZOLA;Trento,13,0
E456;SEZ. SAT POVO;;E;QUOTA 1056 (b.413);RIFUGIO MARANZA (b.412-426-429-441);1056;1072;1056;1135;2320;2340;00:30;00:45;MARZOLA;Trento,15,0
E460;SEZ. SAT PINÉ;;E;BUSONA DI VAL MATTIO (b.340);MONTE CROCE;2160;2490;2150;2490;2510;2580;01:30;01:15;LAGORAI / Costalta - Croce;Baselga di Piné, Telve,11,0
E460A;SEZ. SAT PINÉ;;E;PASSO SCALET (b.407-460);PASSO DI VAL MATTIO (b.340);2212;2278;2212;2316;1350;1370;00:45;00:35;LAGORAI / Costalta - Croce;Telve,16,0
E461;SEZ. SAT PERGINE, SEZ. SAT BORGO VALSUGANA;;E;QUOTA 2085 (b.314);PASSO CADIN o di FIEMME (b.310-314);2085;2108;2069;2108;2665;2680;01:00;01:00;LAGORAI / Costalta - Croce;Telve,20,0
E462;SEZ. SAT PERGINE, SEZ. SAT PINÉ;;E;LENZI - frazione di Palù del Fersina;STRAMAIOLO (b.443);1350;1723;1350;1939;5800;5900;02:30;02:10;LAGORAI / Costalta - Croce;Bedollo, Baselga di Piné,15,0
E468;GRUPPO SAT TREVALLI (Sez. Piné), SEZ. SAT PINÉ;;E;MONTESOVER;"RIFUGIO SPRUGIO ""GIVANNI TONINI"" (b.340-443)";1130;1906;1130;1973;13290;13460;05:20;04:30;LAGORAI / Costalta - Croce;Sover, Lona-Lases, Baselga di Piné,15,0
E468A;SEZ. SAT PINÉ;;E;QUOTA 1940 (b.468);ex MALGA CASERINE - ruderi (b.407-423);1940;1910;1910;1940;1400;1410;00:30;00:30;LAGORAI / Costalta - Croce;Lona-Lases,13,0
E468B;GRUPPO SAT TREVALLI (Sez. Piné);;E;SVESERI - Montesover;CAMORE' (b.468);1091;1750;1091;1750;2920;3050;02:00;01:20;LAGORAI / Costalta - Croce;Sover,19,0
E469;GRUPPO SAT TREVALLI (Sez. Piné);;E;MONTE ALTO - Piscine;BAITA MONTE PAT;1142;1502;1142;1502;3350;3390;01:10;00:50;LAGORAI / Costalta - Croce;Sover, Valfloriana,15,0
E469A;GRUPPO SAT TREVALLI (Sez. Piné);;E;MALGA VERNERA BASSA (b.468);PASSO MIRAFIORI - o dei VASONI (b.470);1671;2047;1671;2074;3260;3330;01:40;01:20;LAGORAI / Costalta - Croce;Sover, Valfloriana, Lona-Lases,19,0
E470;GRUPPO SAT TREVALLI (Sez. Piné);;E;PONTE DEI VASONI (b.407);MALGA DELLE BUSE DEL SASSO;1373;1906;1373;2047;4010;4140;02:10;01:50;LAGORAI / Costalta - Croce;Lona-Lases, Valfloriana,15,0
E471;SEZ. SAT CIVEZZANO;;E;CIVEZZANO;MONTEPIANO (b.421);472;915;472;945;4010;4100;01:50;01:20;CALISIO;Civezzano,19,0
E472;SEZ. SAT LAVIS;SENT. DELLA SCALETTA, DELLE FRATTE, STR. PER PRALUNGO, SENT. CROZI DI VALCALDA;E;SAN LAZZARO - LAVIS;BOSCHI VAL LARGHE (b.420);242;834;242;834;6490;6600;02:20;01:50;CALISIO;Trento,12,0
E473;SEZ. SAT CEMBRA;;T;ALBIANO;LAGO DI SANTA COLOMBA (b.421);645;922;645;922;3340;3400;01:10;01:00;CALISIO;Albiano,15,0
E473A;SEZ. SAT CEMBRA;;T;QUOTA 895 (b.473);PRA' BROGERON (b.421);895;890;860;895;2110;2150;00:40;00:40;CALISIO;Albiano,12,0
E474;SEZ. SAT CEMBRA;SENTIERO SCHIVABRIGHE PER FORNAS;E;ALBIANO - biblioteca;QUOTA 980 (b.474A);646;980;646;1030;4410;4500;01:40;01:20;CALISIO;Albiano, Fornace, Lona-Lases,10,0
E474A;SEZ. SAT CEMBRA;;E;PIAN DEL GACC (b.474);VERSANTE N DEL MONTE GORSA (b.474);849;1005;849;1005;2020;2050;00:45;00:35;CALISIO;Albiano,16,0
E480;SEZ. SAT CEMBRA;;E;MASI ALTI DI GRUMES - EL CASEL;RIFUGIO POTZMAUER (b.415-SI-E5);1060;1289;1060;1350;2400;2450;00:50;00:40;MONTI DI CEMBRA;Grumes,16,0
E481;GRUPPO SAT CAPRIANA (Sez. Cavalese);;E;GRAUNO;CAPRIANA;963;1008;963;1293;6250;6310;02:00;01:50;MONTI DI CEMBRA;Grauno, Capriana,12,0
E481A;GRUPPO SAT CAPRIANA (Sez. Cavalese);;E;LION (b.481);DOI STRADE (b.483);1282;1400;1282;1550;3550;3590;01:10;01:00;MONTI DI CEMBRA;Capriana,18,0
E482;GRUPPO SAT CAPRIANA (Sez. Cavalese);VIA NOVA;E;CAPRIANA - chiesa (b.483);MALGA MONTE CORNO (b.483);1008;1715;1008;1715;5200;5290;02:10;01:30;MONTI DI CEMBRA;Capriana,13,0
E482A;GRUPPO SAT CAPRIANA (Sez. Cavalese);SENTIERO BOTANICO;E;CARBONARE;BIVIO VIA NOVA (b.482);1005;1220;1005;1224;3850;3880;01:15;01:00;MONTI DI CEMBRA;Capriana,12,0
E483;GRUPPO SAT CAPRIANA (Sez. Cavalese);;EEA;CAPRIANA - chiesa (b.482);MONTE CORNO;1008;1781;1008;1781;5850;5960;02:30;01:50;MONTI DI CEMBRA;Capriana,14,0
E489;SEZ. SAT SAN MICHELE ALL'ADIGE;VIA FERRATA DI RIENTRO DALLA VIA FERRATA DEL RIO SECCO - VF - EEA-PD;EEA-PD;CADINO - SS 12;TOVARE (b.408);214;690;214;690;2690;2780;01:40;01:20;MONTI DI CEMBRA;Faedo,10,0
E490;SEZ. SAT SAN MICHELE ALL'ADIGE;VIA FERRATA DEL RIO SECCO VF - EEA-MD;EEA-MD;pr. CADINO (b.489);VAL DEI TEARI (b.489);245;625;245;625;1590;1660;02:10;00:00;MONTI DI CEMBRA;Faedo,13,0
E490A;SEZ. SAT SAN MICHELE ALL'ADIGE;SENTIERO NORMALE DI RIENTRO;E;QUOTA 330 (b.489);GROTTA DEL BASALISC (b.490);330;465;330;465;350;380;00:20;00:15;MONTI DI CEMBRA;Faedo,16,0
E502;SEZ. SAT CAVALESE;;E;POZAL;QUOTA 2030 (b.573);1286;2030;1286;2439;7030;7240;04:20;03:50;CORNO NERO - PALA DI SANTA;Daiano, Cavalese, Varena,17,0
E504;SEZ. SAT PREDAZZO;;E;AL FOL - frazione di Predazzo;GAMITSCHER ALM - strada per Pampeago;1050;2006;1050;2121;7000;7130;03:30;02:40;LATEMAR;Predazzo, Tesero,18,0
E509;SEZ. SAT PREDAZZO, SEZ. SAT TESERO;SENTIERO ATTREZZATO DI VAL AVERTA SAA - EE;EE;ZIANO - frazione Zanon;BAITO LA BASSA (b.514-523-525);990;2160;990;2194;9100;9270;05:00;04:00;CORNACCI - MONTE AGNELLO;Ziano di Fiemme, Panchià, Tesero,13,0
E509A;SEZ. SAT TESERO;;EE;MANDRA DELE BESSE (b.514);LA PORTA (b.509);2100;2155;2100;2155;400;410;00:15;00:10;CORNACCI - MONTE AGNELLO;Tesero,18,0
E510;SEZ. SAT TESERO, SEZ. SAT PREDAZZO;;E;PANCHIA';VAN DE PELENZANA (b.515-515B);1015;2130;1015;2130;8420;8570;04:30;03:30;CORNACCI - MONTE AGNELLO;Panchià, Tesero, Ziano di Fiemme,18,0
E511;SEZ. SAT PREDAZZO;VIA FERRATA DEI CAMPANILI DEL LATEMAR VF - EEA-D;EEA-D;FORCELLA DEI CAMPANILI (b.516);"FORCELLA GRANDE - Bivacco ""Mario Rigatti""";2600;2620;2600;2740;1100;1140;01:30;01:30;LATEMAR;Predazzo,15,0
E513;SEZ. SAT TESERO;SENTIERO ATTREZZATO DELLE DOLAE VF - EEA - F - tra quota 1850 e q. 1920;EEA-F;QUATTRO STRADE - BOSSEDEL (b.518);BAITO ARMENTAGIOLA (b.523);1071;2130;1071;2130;7440;7610;03:30;02:50;CORNACCI - MONTE AGNELLO;Tesero,14,0
E514;SEZ. SAT TESERO;TROSO DE CORNON;E;STAZIONE SEGGIOVIA TRESCA - parcheggio;pr. CASERA VECIA (b.510;1865;1740;1740;2160;5710;5810;02:10;02:10;CORNACCI - MONTE AGNELLO;Tesero,10,0
E515;SEZ. SAT PREDAZZO;;E;PONTE DELLE COSTE - Predazzo;PASSO DEL FEUDO (b.504-516);1018;2121;1018;2210;7960;8190;04:30;03:50;CORNACCI - MONTE AGNELLO;Predazzo, Tesero,10,0
E515B;SEZ. SAT PREDAZZO;;E;VAL GARDONE' (b.504);VAN DE PELENZANA (b.510-515);1400;2130;1400;2130;5000;5080;02:20;01:40;CORNACCI - MONTE AGNELLO;Predazzo,19,0
E516;SEZ. SAT PREDAZZO;;E;FORNO;PASSO DEL FEUDO (b.504-515);1124;2121;1124;2691;13290;13580;06:50;05:50;LATEMAR;Predazzo,20,0
E516B;SEZ. SAT PREDAZZO;;E;"BIVACCO LATEMAR ""ATTILIO SIEFF"" (b.516)";VERSANTE E CORNO D'EGA (b.516);2365;2575;2365;2575;1400;1420;00:40;00:30;LATEMAR;Predazzo,19,0
E517;SEZ. SAT MOENA;;E;PASSO CAREZZA - Jouf de Ciareja  (b.519);INIZIO VALSORDA - EL FORN (b.516);1752;1165;1165;2273;10590;10800;04:40;05:40;LATEMAR;Vigo di Fassa, Moena, Predazzo,14,0
E517B;SEZ. SAT MOENA;;E;PIAN DE VALACE (b.517);SFORCELA PICCOLA DEL LATEMAR - bivio 18-AVS;1983;2526;1983;2526;1450;1550;01:30;01:00;LATEMAR;Predazzo, Moena,16,0
E518;SEZ. SAT TESERO;TROSO DELLE SPIASE;E;QUATTRO STRADE - BOSSEDEL (b.513);ARMENTAGIOLA - o Sella de Slavin (b.523-525);1071;2152;1071;2189;4890;5080;03:40;02:40;CORNACCI - MONTE AGNELLO;Tesero,15,0
E518A;SEZ. SAT TESERO;;E;BUSE DELLE DOLAE (b.513);SFORCELIN (b.518);1830;1847;1830;1847;540;550;00:15;00:15;CORNACCI - MONTE AGNELLO;Tesero,12,0
E519;SEZ. SAT MOENA;;E;MOENA - PIAZ SCOPOL;PASSO CAREZZA - Jouf  de Ciareja (b.517);1172;1752;1172;1752;6790;6860;02:35;02:00;LATEMAR;Moena,11,0
E519A;SEZ. SAT MOENA;;E;ROA FRATA  (b.521);TAL CRISTO (b.519);1415;1422;1334;1422;2200;2220;00:50;00:40;LATEMAR;Moena,16,0
E520;SEZ. SAT MOENA;;E;PALA DA RIF (b.519);COL DA LA CHIUSA - bivio SS 241 - km 5,7;1220;1700;1220;1700;3630;3710;01:40;01:10;CATINACCIO;Moena, Soraga, Vigo di Fassa,18,0
E521;SEZ. SAT MOENA;;E;SORT - frazione di Moena;SFORCELA DEL FONTANEL - o del Toac' (b.517);1255;2273;1255;2319;5460;5620;03:20;02:30;LATEMAR;Moena,11,0
E521A;SEZ. SAT MOENA;TROI DE LA SCONTRADA LADINA;E;PENIA VIA L'EGA (b.521B);CHELA BOA - MEDIL (b.517);1460;1337;1286;1460;1930;1970;00:50;01:00;LATEMAR;Moena,13,0
E521B;SEZ. SAT MOENA;;E;CIANCEL - pr. PENIA (b.521);COI DA LA PAUSSA - L PRA  (b.517);1468;1528;1460;1570;1510;1550;00:30;00:30;LATEMAR;Moena, Predazzo,14,0
E522;SEZ. SAT TESERO, SEZ. SAT PREDAZZO;TROSO DE LA MANDROLINA;E;VAL DE CORNON (b.510);DORSALE SE MONTE AGNELLO (b.515);1280;2175;1280;2194;6680;6840;04:00;03:10;CORNACCI - MONTE AGNELLO;Panchià, Ziano di Fiemme,10,0
E523;SEZ. SAT TESERO;TROSO DE SLAVIN;E;PONTE DE VASA - Val de Stava;BAITO LA BASSA (b.509-514-525);1330;2160;1330;2160;5140;5280;03:00;02:20;CORNACCI - MONTE AGNELLO;Tesero,17,0
E524;SEZ. SAT MOENA;;E;BRENZ - LE PALUE (b.519);VAL DO PENIOLA (b.517);1458;2047;1458;2047;2080;2170;01:40;01:10;LATEMAR;Moena, Vigo di Fassa,10,0
